Name,AccountNumber,Industry,Phone,NumberOfEmployees,BillingAdress
SFDC,123,,99832875143,,USA
EDI,1245,,99832875144,,USA
Gelivi Krishna Chaitanya,,,,,USA
SFDC,123,,99832875143,,USA
EDI,1245,,99832875144,,USA
Krishna,,,,,USA
Edge Communications,CD451796,Electronics,(512) 757-6000,1000,USA
Burlington Textiles Corp of America,CD656092,Apparel,(336) 222-7000,9000,USA
Pyramid Construction Inc.,CC213425,Construction,(014) 427-4427,2680,USA
Dickenson plc,CC634267,Consulting,(785) 241-6200,120,USA
Grand Hotels & Resorts Ltd,CD439877,Hospitality,(312) 596-1000,5600,USA
United Oil & Gas Corp.,CD355118,Energy,(212) 842-5500,145000,USA
Express Logistics and Transport,CC947211,Transportation,(503) 421-7800,12300,USA
University of Arizona,CD736025,Education,(520) 773-9050,39000,USA
United Oil & Gas\, UK,CD355119-A,Energy,+44 191 4956203,24000,USA
United Oil & Gas\, Singapore,CD355120-B,Energy,(650) 450-8810,3000,USA
GenePoint,CC978213,Biotechnology,(650) 867-3450,265,USA
sForce,,,(415) 901-7000,,USA
